Search Term HGL,Views
" road+world",2
" sahel",2
" salmon+falls",2
" scanned",2
" seoul",2
" sierra+leone",2
" skin",2
" stockholm",2
" supermarket",2
" sweden+energy",2
" taiwan+",2
" taiwan+environment",2
" taiwan+habitat",2
" tea+",2
" transportation+data+of+houston",2
" ukraine",2
" varese",2
" vernon+center+ny",2
" vernon+new+york",2
" voting+district+2000",2
" voting+districts+washington",2
" vtd+1995",2
" vtd+2010",2
" watertown",2
" worcester",2
" 1890+county",2
" world+war+1+trenches",2
" yemen",2
" zahir+shah",2
" zhejiang",2
" zonguldak",2
" 1850+counties",2
" viyana",2
"  &bbox=-12.557684%20-7.2611%2029.805597%2026.836837",2
" sweden &bbox=7.29442%2053.46189%2029.442858%2062.69431",2
" sweden &bbox=8.218428%2051.151786%2030.366865%2060.909073",2
" wetland &utf8=%E2%9C%93&bbox=-180%20-89.961607%20180%2071.524909",2
" mountain &bbox=-117.993284%2036.694851%20-112.456175%2040.136891",2
" mountain &bbox=-125.595703%2032.026706%20-103.447266%2045.644768",2
"  &sort=solr_year_i+desc%2C+dc_title_sort+asc&bbox=-111.56668%2039.13006%20-89.418243%2051.426614",2
"  &bbox=119.737244%2027.671367%20121.094055%2028.639979",2
" balearic &utf8=%E2%9C%93&bbox=4.196058%2039.826995%204.344031%2039.93238",2
" 990126902100203941",2
" europe&bbox=-1.051858%2039.232253%2039.905174%2061.185625",2
" &bbox=-127.110155%20-25.377124%2025.46797%2074.527704",2
" &bbox=-62.857951%20-33.063924%20-21.900919%200.087891",2
" &bbox=42.310654%2024.11868%2064.459091%2039.02089",2
" &bbox=43.169596%2052.346533%20127.896159%2078.585884",2
" 1990+voting+district+texas&bbox=-102.282715%2028.459033%20-94.570312%2035.88905",2
" Des+Moines+Iowa+&bbox=-94.240723%2040.913513%20-93.186035%2041.738528",2
" Saalfeld&bbox=11.357031%2050.614209%2011.373897%2050.6251",2
" Saalfeld&bbox=11.361258%2050.616932%2011.369691%2050.622378",2
" Saalfeld&bbox=11.363372%2050.618294%2011.367588%2050.621016",2
" Saalfeld&bbox=11.365528%2050.603043%2011.382394%2050.613937",2
" Saalfeld&bbox=11.369734%2050.605766%2011.378167%2050.611213",2
" brasil&bbox=-50.449219%20-7.928675%20-44.912109%20-3.557283",2
" city+map&bbox=28.933013%2040.986637%2029.01953%2041.038449",2
" city+map+1821&bbox=-6.591797%2014.944785%2037.705078%2044.840291",2
" denmark&bbox=9.585055%2055.69926%209.883059%2055.853733",2
" dublin&bbox=-6.274609%2053.339445%20-6.263795%2053.344569",2
" dublin&bbox=-6.311648%2053.323389%20-6.225131%2053.364382",2
" harvard+university&bbox=-71.132528%2042.361208%20-71.089269%2042.386571",2
" harvard+university&bbox=-71.133472%2042.362222%20-71.090214%2042.387585",2
" harvard+university&bbox=-71.140085%2042.365013%20-71.096826%2042.390375",2
" harvard+university&bbox=-71.15536%2042.348903%20-71.068842%2042.399629",2
" harvard+university&bbox=-71.343799%2042.262066%20-70.65166%2042.66729",2
" hgis+germany&bbox=8.648889%2050.66339%2010.033166%2051.354631",2
" hgis+germany&bbox=8.874157%2050.762522%209.566296%2051.108696",2
" hgis+germany&bbox=9.043452%2050.836733%209.216487%2050.92338",2
" historical+data+of+istanbul&bbox=-12.65625%208.581021%2059.765625%2061.689872",2
" historical+data+of+istanbul&bbox=-3.691406%2011.005904%2068.730469%2062.835089",2
" income+distribution&bbox=-102.12852%2041.463588%20-81.386333%2053.294993",2
" israel&bbox=33.705891%2030.42973%2036.474446%2032.305706",2
" istanbul&bbox=28.787632%2040.894207%2029.133701%2041.1015",2
" istanbul&bbox=28.955396%2041.01717%2028.957896%2041.018789",2
" istanbul+map&bbox=28.343353%2041.055538%2029.029999%2041.468457",2
" maine&bbox=-94.042969%2020.797201%20-15.46875%2067.135829",2
